File,identifier,isla,distancia LP-ACO,distancia LLM,media,ganador
0d442b615e2b9a686de265fbebd6c701,1746490919,0,15.604411799990244,17.730423461821168,16.667417630905707,Evaluador
0d442b615e2b9a686de265fbebd6c701,1746490919,0,15.604411799990244,17.730423461821168,16.667417630905707,Evaluador
0d442b615e2b9a686de265fbebd6c701,1746494622,0,15.604411799990244,19.76158410782929,17.682997953909766,Evaluador
0d442b615e2b9a686de265fbebd6c701,1746499826,2,15.604411799990244,19.18500714057744,17.394709470283843,Evaluador
0d442b615e2b9a686de265fbebd6c701,1746496504,2,15.604411799990244,18.7349929571431,17.169702378566672,Evaluador
0d442b615e2b9a686de265fbebd6c701,1746492541,2,15.604411799990244,19.97990055344581,17.792156176718027,Evaluador
1118e4a8dcbbd639f466a5cfdab5d713,1746499826,2,15.889423660731698,20.001979866687343,17.945701763709522,Evaluador
1118e4a8dcbbd639f466a5cfdab5d713,1746490919,0,15.889423660731698,19.716865773073653,17.803144716902676,Evaluador
1118e4a8dcbbd639f466a5cfdab5d713,1746490919,0,15.889423660731698,19.716865773073653,17.803144716902676,Evaluador
1118e4a8dcbbd639f466a5cfdab5d713,1746494622,0,15.889423660731698,19.430697412343587,17.660060536537642,Evaluador
1118e4a8dcbbd639f466a5cfdab5d713,1746499826,2,15.889423660731698,19.265361937631123,17.57739279918141,Evaluador
1118e4a8dcbbd639f466a5cfdab5d713,1746496504,2,15.889423660731698,19.99691872831013,17.943171194520914,Evaluador
1118e4a8dcbbd639f466a5cfdab5d713,1746492541,2,15.889423660731698,19.295889310019135,17.592656485375414,Evaluador
172cdc1848aa890b7da85d5475852093,1746499826,2,16.353712963411084,20.619798571756643,18.486755767583865,Evaluador
172cdc1848aa890b7da85d5475852093,1746490919,0,16.353712963411084,21.238915583245603,18.796314273328342,Evaluador
172cdc1848aa890b7da85d5475852093,1746490919,0,16.353712963411084,21.238915583245603,18.796314273328342,Evaluador
172cdc1848aa890b7da85d5475852093,1746494622,0,16.353712963411084,21.299028211902503,18.826370587656793,Evaluador
172cdc1848aa890b7da85d5475852093,1746499826,2,16.353712963411084,20.94914110948864,18.65142703644986,Evaluador
172cdc1848aa890b7da85d5475852093,1746496504,2,16.353712963411084,21.19935619690686,18.776534580158973,Evaluador
172cdc1848aa890b7da85d5475852093,1746492541,2,16.353712963411084,19.37378714159144,17.86375005250126,Evaluador
195218f60d8440353bf5c79638dc7297,1746499826,2,15.063611182061518,17.825652438760546,16.444631810411032,Evaluador
195218f60d8440353bf5c79638dc7297,1746490919,0,15.063611182061518,18.91187972331236,16.987745452686937,Evaluador
195218f60d8440353bf5c79638dc7297,1746490919,0,15.063611182061518,18.91187972331236,16.987745452686937,Evaluador
